last_name,first_name,display_name,tournament,year,round,tour
Djokovic,Novak,Novak Djokovic,Wimbledon,2018,F,ATP
Djokovic,Novak,Novak Djokovic,Wimbledon,2018,W,ATP
Bencic,Belinda,Belinda Bencic,Wimbledon,2018,R16,WTA
Bertens,Kiki,Kiki Bertens,Wimbledon,2018,R16,WTA
Cibulkova,Dominika,Dominika Cibulkova,Wimbledon,2018,R16,WTA
Giorgi,Camila,Camila Giorgi,Wimbledon,2018,R16,WTA
Goerges,Julia,Julia Goerges,Wimbledon,2018,R16,WTA
Kasatkina,Daria,Daria Kasatkina,Wimbledon,2018,R16,WTA
Kerber,Angelique,Angelique Kerber,Wimbledon,2018,R16,WTA
Makarova,Kate,Kate Makarova,Wimbledon,2018,R16,WTA
Ostapenko,Jelena,Jelena Ostapenko,Wimbledon,2018,R16,WTA
Pliskova,Karolina,Karolina Pliskova,Wimbledon,2018,R16,WTA
Rodina,Evgeniya,Evgeniya Rodina,Wimbledon,2018,R16,WTA
Sasnovich,Aliaksandra,Aliaksandra Sasnovich,Wimbledon,2018,R16,WTA
Van Uytvanck,Alison,Alison Van Uytvanck,Wimbledon,2018,R16,WTA
Vekic,Donna,Donna Vekic,Wimbledon,2018,R16,WTA
Wei Hsieh,Su,Su Wei Hsieh,Wimbledon,2018,R16,WTA
Williams,Serena,Serena Williams,Wimbledon,2018,R16,WTA
Bertens,Kiki,Kiki Bertens,Wimbledon,2018,QF,WTA
Cibulkova,Dominika,Dominika Cibulkova,Wimbledon,2018,QF,WTA
Giorgi,Camila,Camila Giorgi,Wimbledon,2018,QF,WTA
Goerges,Julia,Julia Goerges,Wimbledon,2018,QF,WTA
Kasatkina,Daria,Daria Kasatkina,Wimbledon,2018,QF,WTA
Kerber,Angelique,Angelique Kerber,Wimbledon,2018,QF,WTA
Ostapenko,Jelena,Jelena Ostapenko,Wimbledon,2018,QF,WTA
Williams,Serena,Serena Williams,Wimbledon,2018,QF,WTA
Goerges,Julia,Julia Goerges,Wimbledon,2018,SF,WTA
Kerber,Angelique,Angelique Kerber,Wimbledon,2018,SF,WTA
Ostapenko,Jelena,Jelena Ostapenko,Wimbledon,2018,SF,WTA
Williams,Serena,Serena Williams,Wimbledon,2018,SF,WTA
Kerber,Angelique,Angelique Kerber,Wimbledon,2018,F,WTA
Williams,Serena,Serena Williams,Wimbledon,2018,F,WTA
Kerber,Angelique,Angelique Kerber,Wimbledon,2018,W,WTA
