last_name,first_name,display_name,goals
Bendtner,Nicklas,Nicklas Bendtner,32
Cissé,Djibril,Djibril Cissé,32
Jenas,Jermaine,Jermaine Jenas,32
Johnson,Adam,Adam Johnson,32
Morrison,James,James Morrison,32
Mount,Mason,Mason Mount,32
Wright-Phillips,Shaun,Shaun Wright-Phillips,32
Benayoun,Yossi,Yossi Benayoun,31
Camara,Henri,Henri Camara,31
Gakpo,Cody,Cody Gakpo,31
Gardner,Craig,Craig Gardner,31
Groß,Pascal,Pascal Groß,31
Lambert,Rickie,Rickie Lambert,31
Ricard,Hamilton,Hamilton Ricard,31
Vieira,Patrick,Patrick Vieira,31
Wilcox,Jason,Jason Wilcox,31
Wiltord,Sylvain,Sylvain Wiltord,31
Guimarães Rodriguez Moura,Bruno,Bruno Guimarães,30
Leonhardsen,Oyvind,Oyvind Leonhardsen,30
Boa Morte Pereira,Luís,Luís Boa Morte,29
Butt,Nicky,Nicky Butt,29
Christie,Malcolm,Malcolm Christie,29
Díaz,Luis,Luis Díaz,29
Giroldo Júnior,Osvaldo,Juninho Paulista,29
Gordon,Anthony,Anthony Gordon,29
Grealish,Jack,Jack Grealish,29
Jelavic,Nikica,Nikica Jelavic,29
Klinsmann,Jürgen,Jürgen Klinsmann,29
Lingard,Jesse,Jesse Lingard,29
Milosevic,Savo,Savo Milosevic,29
Mirallas,Kevin,Kevin Mirallas,29
Ostenstad,Egil,Egil Ostenstad,29
Pogba,Paul,Paul Pogba,29
Rideout,Paul,Paul Rideout,29
Rodallega,Hugo,Hugo Rodallega,29
Rodríguez Ledesma,Pedro,Pedro,29
Rösler,Uwe,Uwe Rösler,29
Taylor,Ian,Ian Taylor,29
Barnes,John,John Barnes,28
Baros,Milan,Milan Baros,28
Cahill,Gary,Gary Cahill,28
Cort,Carl,Carl Cort,28
Diouf,El Hadji,El Hadji Diouf,28
Harewood,Marlon,Marlon Harewood,28
Harte,Ian,Ian Harte,28
Helguson,Heidar,Heidar Helguson,28
